Province/State,Country/Region,Lat,Long,Date,Value
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num
,Argentina,-38.4161,-63.6167,18-02-2020,0
,Argentina,-38.4161,-63.6167,17-02-2020,0
,Argentina,-38.4161,-63.6167,16-02-2020,0
,Argentina,-38.4161,-63.6167,15-02-2020,0
,Argentina,-38.4161,-63.6167,14-02-2020,0
,Argentina,-38.4161,-63.6167,13-02-2020,0
,Argentina,-38.4161,-63.6167,12-02-2020,0
,Argentina,-38.4161,-63.6167,11-02-2020,0
,Argentina,-38.4161,-63.6167,10-02-2020,0
,Argentina,-38.4161,-63.6167,09-02-2020,0
,Argentina,-38.4161,-63.6167,08-02-2020,0
,Argentina,-38.4161,-63.6167,07-02-2020,0
,Argentina,-38.4161,-63.6167,06-02-2020,0
,Argentina,-38.4161,-63.6167,05-02-2020,0
,Argentina,-38.4161,-63.6167,04-02-2020,0
,Argentina,-38.4161,-63.6167,03-02-2020,0
,Argentina,-38.4161,-63.6167,02-02-2020,0
,Argentina,-38.4161,-63.6167,01-02-2020,0
,Argentina,-38.4161,-63.6167,31-01-2020,0
,Argentina,-38.4161,-63.6167,30-01-2020,0
,Argentina,-38.4161,-63.6167,29-01-2020,0
,Argentina,-38.4161,-63.6167,28-01-2020,0
,Argentina,-38.4161,-63.6167,27-01-2020,0
,Argentina,-38.4161,-63.6167,26-01-2020,0
,Argentina,-38.4161,-63.6167,25-01-2020,0
,Argentina,-38.4161,-63.6167,24-01-2020,0
,Argentina,-38.4161,-63.6167,23-01-2020,0
,Argentina,-38.4161,-63.6167,22-01-2020,0
,Armenia,40.0691,45.0382,20-03-2020,136
,Armenia,40.0691,45.0382,19-03-2020,115
,Armenia,40.0691,45.0382,18-03-2020,84
,Armenia,40.0691,45.0382,17-03-2020,78
,Armenia,40.0691,45.0382,16-03-2020,52
,Armenia,40.0691,45.0382,15-03-2020,26
,Armenia,40.0691,45.0382,14-03-2020,18
,Armenia,40.0691,45.0382,13-03-2020,8
,Armenia,40.0691,45.0382,12-03-2020,4
,Armenia,40.0691,45.0382,11-03-2020,1
,Armenia,40.0691,45.0382,10-03-2020,1
,Armenia,40.0691,45.0382,09-03-2020,1
,Armenia,40.0691,45.0382,08-03-2020,1
,Armenia,40.0691,45.0382,07-03-2020,1
,Armenia,40.0691,45.0382,06-03-2020,1
,Armenia,40.0691,45.0382,05-03-2020,1
,Armenia,40.0691,45.0382,04-03-2020,1
,Armenia,40.0691,45.0382,03-03-2020,1
,Armenia,40.0691,45.0382,02-03-2020,1
,Armenia,40.0691,45.0382,01-03-2020,1
,Armenia,40.0691,45.0382,29-02-2020,0
,Armenia,40.0691,45.0382,28-02-2020,0
,Armenia,40.0691,45.0382,27-02-2020,0
,Armenia,40.0691,45.0382,26-02-2020,0
,Armenia,40.0691,45.0382,25-02-2020,0
,Armenia,40.0691,45.0382,24-02-2020,0
,Armenia,40.0691,45.0382,23-02-2020,0
,Armenia,40.0691,45.0382,22-02-2020,0
,Armenia,40.0691,45.0382,21-02-2020,0
,Armenia,40.0691,45.0382,20-02-2020,0
,Armenia,40.0691,45.0382,19-02-2020,0
,Armenia,40.0691,45.0382,18-02-2020,0
,Armenia,40.0691,45.0382,17-02-2020,0
,Armenia,40.0691,45.0382,16-02-2020,0
,Armenia,40.0691,45.0382,15-02-2020,0
,Armenia,40.0691,45.0382,14-02-2020,0
,Armenia,40.0691,45.0382,13-02-2020,0
,Armenia,40.0691,45.0382,12-02-2020,0
,Armenia,40.0691,45.0382,11-02-2020,0
,Armenia,40.0691,45.0382,10-02-2020,0
,Armenia,40.0691,45.0382,09-02-2020,0
,Armenia,40.0691,45.0382,08-02-2020,0
,Armenia,40.0691,45.0382,07-02-2020,0
,Armenia,40.0691,45.0382,06-02-2020,0
,Armenia,40.0691,45.0382,05-02-2020,0
,Armenia,40.0691,45.0382,04-02-2020,0
,Armenia,40.0691,45.0382,03-02-2020,0
,Armenia,40.0691,45.0382,02-02-2020,0
,Armenia,40.0691,45.0382,01-02-2020,0
,Armenia,40.0691,45.0382,31-01-2020,0
,Armenia,40.0691,45.0382,30-01-2020,0
,Armenia,40.0691,45.0382,29-01-2020,0
,Armenia,40.0691,45.0382,28-01-2020,0
,Armenia,40.0691,45.0382,27-01-2020,0
,Armenia,40.0691,45.0382,26-01-2020,0
,Armenia,40.0691,45.0382,25-01-2020,0
,Armenia,40.0691,45.0382,24-01-2020,0
,Armenia,40.0691,45.0382,23-01-2020,0
,Armenia,40.0691,45.0382,22-01-2020,0
